Country,Continent,Population,Life_Expectancy,Wellbeing,Ecological_Footprint,HPI,GDP_per_capita
Costa Rica,1,5047.561,80.3,6.997618675,2.648522266,62.05755177,20296.8215
Vanuatu,8,299.882,70.5,6.955620317,1.61609366,60.36387581,3153.015168
Colombia,1,50339.443,77.3,6.350297928,1.904750865,60.1651675,14624.9713
Switzerland,3,8591.361,83.8,7.69422102,4.142516115,60.10465034,68390.71299
Ecuador,1,17373.657,77,5.809131145,1.507072768,58.83121306,11375.33118
Panama,1,4246.44,78.5,6.085955143,2.095497138,57.93216985,31458.69263
Jamaica,1,2948.277,74.5,6.309238911,1.840191003,57.90362846,9761.498522
Guatemala,1,17581.476,74.3,6.262175083,1.772629006,57.87555297,8637.464165
Honduras,1,9746.115,75.3,5.930051327,1.580107488,57.73411068,5727.973572
Uruguay,1,3461.731,77.9,6.600337029,2.621885465,57.53003585,21561.06205
New Zealand,2,4783.062,82.3,7.205174446,3.873951708,57.43448131,43148.44605
Philippines,8,108116.622,71.2,6.267745018,1.502025499,57.10321898,8908.175977
El Salvador,1,6453.55,73.3,6.454820633,2.06497864,56.32657529,8775.98652
United Kingdom,3,67530.161,81.3,7.157151222,3.948529357,55.96785254,46702.97842
Peru,1,32510.462,76.7,5.999381542,2.087987089,55.89352023,12847.88521
Nicaragua,1,6545.503,74.5,6.112545013,2.03830319,55.19364394,5407.1207
Tajikistan,7,9321.023,71.1,5.464015484,0.964901584,55.15297812,3379.748697
Netherlands,3,17097.123,82.3,7.42526865,4.593482329,54.94941705,56809.96717
Dominican Republic,1,10738.957,74.1,6.004237175,1.927028471,54.84726134,18412.89827
Armenia,7,2957.728,75.1,5.4880867,1.521645531,54.73393391,13653.74953
Brazil,1,211049.519,75.9,6.451148987,2.679416288,54.56892235,14651.61618
Bangladesh,6,163046.173,72.6,5.114216805,0.875011257,54.46704074,4753.726947
Mexico,1,127575.529,75,6.431945324,2.578322892,54.33059101,19765.91608
Uzbekistan,7,32981.715,71.7,6.154049397,1.882619055,54.14126925,6998.767576
Kyrgyzstan,7,6415.851,71.5,5.685220718,1.439890394,53.70421002,5253.667034
Serbia,7,8772.228,76,6.241407394,2.691386041,53.21580638,18350.58731
Nepal,6,28608.715,70.8,5.448724747,1.202942693,53.05560432,3416.791282
Thailand,8,69625.581,77.2,6.02215147,2.657845518,52.90452836,18459.99486
Germany,3,83517.046,81.3,7.035472393,4.437431497,52.73131728,53810.56545
Spain,3,46736.782,83.6,6.457449436,4.142668854,52.3355153,40936.21952
France,3,65129.731,82.7,6.689644337,4.409367891,51.81547019,46112.95795
Mauritius,5,1269.67,75,6.241165161,2.851947239,51.52077767,22870.28625
Finland,3,5532.159,81.9,7.780347824,5.758156194,51.2716938,48802.8881
Senegal,5,16296.362,67.9,5.488736629,1.15246151,51.19518904,3394.868808
Ireland,3,4882.498,82.3,7.254841328,5.196829053,51.14850813,86826.3351
Albania,7,2880.913,78.6,4.995317936,1.953726297,51.03309375,13724.05879
Moldova,7,4043.258,71.9,5.803450584,2.041505872,50.96889516,13022.0046
Norway,3,5378.859,82.4,7.442139626,5.509702465,50.87519275,64962.26227
Morocco,4,36471.766,76.7,5.056751728,1.822641984,50.87309546,7514.720881
Italy,3,60550.092,83.5,6.445416927,4.453128053,50.69761829,42416.41671
Sweden,3,10036.391,82.8,7.398092747,5.605593113,50.50051612,52642.3152
"Palestine, State of",4,4981.422,74,4.48253727,0.935436498,50.25928365,6219.960291
Argentina,1,44780.675,76.7,6.085560799,3.191470119,49.98872592,22063.90437
Indonesia,8,270625.567,71.7,5.346512794,1.735159206,49.59797812,11812.19764
Cyprus,3,1198.574,81,6.136832714,3.974458505,49.4183661,39544.68185
Venezuela,1,28515.829,72.1,5.080803394,1.593181787,48.94059614,..
Greece,3,10473.452,82.2,5.952157497,4.035081313,48.81002762,30463.04105
Vietnam,8,96462.108,75.4,5.467451096,2.56373618,48.44459745,8041.178551
Israel,4,8519.373,83,7.331779957,6.11135185,48.24342147,40200.28742
Azerbaijan,7,10047.719,73,5.173389435,1.968940748,48.03454046,14402.46386
Cambodia,8,16486.542,69.8,4.998284817,1.364666284,47.96745103,4388.800909
Iceland,3,339.037,83,7.532504559,6.455306668,47.95688519,55699.71639
Slovenia,7,2078.654,81.3,6.665273666,5.045764978,47.88454788,39029.72579
Bosnia and Herzegovina,7,3300.998,77.4,6.01552248,3.648305094,47.78103944,14922.14851
Paraguay,1,7044.639,74.3,5.652625561,2.795780376,47.60305593,12685.1134
Congo (Brazzaville),5,5380.504,64.6,5.212622643,1.048699638,47.15744747,3673.117827
Japan,8,126860.299,84.6,5.908039093,4.710935754,47.06372618,41667.1791
Czech Republic,7,10689.213,79.4,6.965628386,5.400431879,46.8144963,40828.05984
Austria,3,8955.108,81.5,7.195361137,6.05452653,46.81302886,56011.61122
Sri Lanka,6,21323.734,77,4.213299274,1.501491981,46.79711602,13078.09812
Slovakia,7,5457.012,77.5,6.243428707,4.217127795,46.57431406,31965.32847
Algeria,4,43053.054,76.9,4.744627476,2.22316038,46.48894951,11510.55709
Portugal,3,10226.178,82,6.095473289,4.776021175,46.26293284,34904.68577
Romania,7,19364.558,76,6.129942417,3.925004477,46.21227471,29968.57521
Croatia,7,4130.299,78.5,5.625743866,3.641389841,46.20843547,28845.29047
Liberia,5,4937.374,64.1,5.121460915,1.065146506,46.0225342,1427.81909
Chile,1,18952.035,80.2,5.942250252,4.443800777,45.64123987,25131.46476
Singapore,8,5804.343,83.6,6.378359795,5.598810316,45.54925389,97341.46865
Hungary,7,9684.68,76.9,6.000259876,4.067559062,45.44647998,32639.5083
Denmark,3,5771.877,80.9,7.693003178,7.047285091,45.32635001,57862.27828
Iraq,4,39309.789,70.6,4.835783005,1.736921221,45.27885667,10881.17209
Kenya,5,52573.967,66.7,4.618850231,0.987102409,45.18295778,4329.87139
Pakistan,6,216565.317,67.3,4.442717552,0.873785382,45.10544179,4690.484755
Poland,7,37887.771,78.7,6.24209404,4.770052414,45.0226049,33226.26592
Bolivia,1,11513.102,71.5,5.67427063,2.940349746,44.99913781,8724.475702
Uganda,5,44269.587,63.4,4.948051453,0.98585989,44.76973343,2187.464881
Yemen,4,29161.922,66.1,4.196912766,0.515748973,44.62843323,..
Georgia,7,3996.762,73.8,4.89183569,2.428397442,44.2727762,14993.12044
Mozambique,5,30366.043,60.9,4.932132721,0.720906458,44.18803798,1281.391836
Madagascar,5,26969.306,67,4.339087486,0.86518582,44.1806548,1647.02116
Tunisia,4,11694.721,76.7,4.315479755,2.118263819,43.92253442,10755.60815
North Macedonia,7,2083.458,75.8,5.015485287,2.953336353,43.85874421,16660.45011
Jordan,4,10101.697,74.5,4.452548027,2.030631176,43.85457626,10071.38287
Iran,4,82913.893,76.7,5.006145954,3.115897585,43.632488,12389.22159
Malta,3,440.377,82.5,6.73297739,6.501664888,43.5028292,43585.36486
Egypt,4,100388.076,72,4.327831745,1.670407029,43.17843848,11763.25364
Taiwan,8,23773.881,80.4627,6.537089825,5.969634938,43.15363214,#N/A
Australia,2,25203.2,83.4,7.233994961,7.525196181,43.11437338,49609.04403
Belarus,7,9452.409,74.8,5.821453094,4.110974951,42.88780952,19249.28548
Laos,8,7169.456,67.9,5.196856022,2.275418923,42.78420143,7826.388595
Libya,4,6777.453,72.9,5.33022213,3.208879734,42.68543403,15174.16475
Belgium,3,11539.326,81.6,6.772138119,6.694853717,42.53497245,51830.74647
Comoros,5,850.891,64.3,4.608616352,1.121470201,42.43860389,3059.509705
China,8,1433783.692,76.9,5.144120216,3.737106216,41.88879499,16092.30077
Malaysia,8,31949.789,76.2,5.427954197,4.06984805,41.74073777,28364.48697
Ethiopia,5,112078.727,66.6,4.099555016,0.941089192,41.72822439,2221.404605
Saudi Arabia,4,34268.529,75.1,6.561247349,5.516561892,41.61211706,46962.14906
Burkina Faso,5,20321.383,61.6,4.740892887,1.056987637,41.53829397,2178.323415
Benin,5,11801.151,61.8,4.976360798,1.388341424,41.37151967,3287.309538
Niger,5,23310.719,62.4,5.003544331,1.51281053,41.35091295,1224.510472
Montenegro,7,627.988,76.9,5.386024952,4.222767782,41.33038029,21602.69568
Turkey,4,83429.607,77.7,4.87207365,3.610031436,41.28234798,28289.0888
Ukraine,7,43993.643,72.1,4.701762199,2.643290808,40.90280442,12810.28945
Congo (Kinshasa),5,86790.568,60.7,4.416484356,0.73384215,40.52924206,1097.948853
Canada,2,37411.038,82.4,7.1090765,8.145413732,40.18359249,48881.39675
Bulgaria,7,7000.117,75,5.108438015,3.832988495,40.13077545,23265.62327
Myanmar,8,54045.422,67.1,4.43423748,1.751745181,40.04479079,5142.154166
Cameroon,5,25876.387,59.3,4.936737537,1.244285448,39.90883236,3642.277258
Gabon,5,2172.578,66.5,4.914393425,2.323540263,39.86493361,14950.0702
South Korea,8,51225.321,83,5.902816772,6.446572539,39.81907149,42878.8173
Cote d'Ivoire,5,25716.554,57.8,5.392012119,1.579017311,39.64587173,5212.556048
Sudan,5,42813.237,65.3,4.241629481,1.337276684,39.60313347,3958.46839
Ghana,5,30417.858,64.1,4.96680975,2.095714691,39.52473405,5412.628122
Mali,5,19658.023,59.3,4.98799181,1.414121906,39.34192686,2321.594445
Rwanda,5,12626.938,69,3.268152237,0.606204969,39.23448403,2226.863571
Lebanon,4,6855.709,78.9,4.024219513,3.051294827,38.99983124,14551.58522
Malawi,5,18628.749,64.3,3.869123697,0.8931181,38.70654232,1059.72349
Kazakhstan,7,18551.428,73.6,6.272268295,5.718624171,38.64493232,26351.80444
Haiti,1,11263.079,64,3.614928007,0.618312421,38.19941901,2905.439081
Guinea,5,12771.246,61.6,4.76768446,1.770611073,38.06100367,2562.082921
Burundi,5,11530.577,61.6,3.775283098,0.592674199,37.69524004,751.6639572
United States of America,2,329064.917,78.9,6.943701267,8.21127422,37.44571593,62530.38959
Togo,5,8082.359,61,4.179493904,1.093472558,37.31041453,1596.644938
Tanzania,5,58005.461,65.5,3.640154839,1.093729383,36.95833825,2660.420338
Lithuania,7,2759.631,75.9,6.064097881,6.418018228,36.85726815,37181.00294
Namibia,5,2494.524,63.7,4.435811043,1.94275258,36.80911639,9637.180351
Bhutan,6,763.094,71.8,5.196599483,4.387431921,36.67282917,11832.18926
India,6,1366417.756,69.7,3.24876976,1.219981627,36.37213182,6700.062225
South Africa,5,58558.267,64.1,5.034863472,2.966766551,36.20526477,12481.81351
Eswatini,5,1148.133,60.2,4.396114826,1.670769722,35.34532956,8621.826595
Russia,7,145872.26,72.6,5.440523624,5.463714556,34.92504653,27043.93539
Mauritania,5,4525.698,64.9,4.152619362,2.244926551,34.66241836,5197.074547
Estonia,7,1325.649,78.8,6.034641266,7.849581202,34.44290255,36947.70613
Zambia,5,17861.034,63.9,3.306796551,0.931228935,34.41091087,3470.448801
United Arab Emirates,4,9770.526,78,6.710782528,8.935042966,34.30856703,67119.13264
Latvia,7,1906.74,75.3,5.969753742,7.151485607,34.14497266,30965.45186
Nigeria,5,200963.603,54.7,4.356419086,0.992864564,34.13821364,5135.499571
Hong Kong,8,7436.157,84.9,5.659317017,8.601888167,33.8906582,59847.55428
