"Region","SqftEst","SqftMeasure","SqftHeated","CostElec","SqftAirCond","CostNatgas","CostFueloil","CostLPG","CostKero","TypeHome","YearMade","Neighborhood","HHSize","HHIncome","CostTotal"
"South",1000,1989,1739,1699,1739,495,0,0,0,"Single","dec1950","City",2,27500,2194
"West",,1320,660,1748,1320,203,0,0,0,"Single","dec1980","Suburbs",4,52500,1951
"Midwest",,3075,1886,1526,2675,821,0,0,0,"Single","dec1960","City",2,37500,2347
"West",,899,899,1919,0,0,0,0,0,"Single","pre1950","Town",8,17500,1919
"South",5000,2176,1332,1856,1776,864,0,0,0,"Single","dec1990","Suburbs",5,110000,2720
"Northeast",1000,1069,1069,1721,891,1198,0,0,0,"Single","dec1970","City",8,47500,2919
"South",,3360,0,876,0,0,0,0,0,"Single","dec1980","Suburbs",2,120000,876
"South",1000,748,748,1318,299,0,0,1892,0,"Single","dec1970","Rural",4,72500,3210
"South",2850,5040,4640,2117,4640,273,0,0,0,"Single","dec1990","Suburbs",4,110000,2390
"Northeast",2200,2549,2549,998,2549,0,0,0,0,"Single","dec1980","Suburbs",1,110000,998
"South",800,1725,1725,818,1725,0,0,0,0,"Apartment","dec1980","City",3,22500,818
"Northeast",3300,4500,3150,1578,4500,2318,0,0,0,"Single","dec1980","Town",5,72500,3896
"South",,832,832,685,832,0,0,0,0,"Apartment","dec1990","City",1,6250,685
"South",1665,2294,1894,2883,1894,0,0,0,0,"Single","dec1970","City",3,47500,2883
"West",,1740,0,722,0,0,0,0,0,"Single","dec1980","City",5,110000,722
"South",,1566,1566,1852,1566,0,0,0,0,"Single","dec1990","Rural",2,77500,1852
"Northeast",1200,429,429,673,286,785,0,0,0,"Apartment","dec1960","City",1,32500,1458
"West",2600,3283,2883,723,0,1012,0,0,0,"Single","pre1950","City",2,120000,1735
"West",1750,2060,1107,223,0,498,0,0,0,"Single","dec1970","City",1,37500,721
"Midwest",,1950,725,1318,340,451,0,0,0,"Single","pre1950","Town",4,8750,1769
"Northeast",3000,5334,4409,1893,4934,1898,0,0,0,"Single","dec1990","Suburbs",2,120000,3791
"West",600,1360,1020,175,0,309,0,0,0,"Single","pre1950","Rural",2,8750,484
"West",1600,1967,1967,879,1967,825,0,0,0,"Single","dec1950","City",7,120000,1704
