"Movie","Release_Date","Distributor","Budget_2008","Total_Gross","Opening_Weekend_Gross","Genre","MPAA","Run_Time","Num_Screens","Gross_Per_Screen","IMDB_Score","Academy_Award","Google_Hits","Rotten_Tomatoes"
"21","03/29/08","Columbia Pictures",3.5e+07,81159365,24105943,"Thriller/Suspense","PG-13",123,2648,9103.45,6.8,3,763000,35
"10,000 B.C.","03/07/08","Warner Bros.",1.05e+08,94784201,35867488,"Adventure","PG-13",109,3410,10518.32,4.9,1,704000,9
"27 Dresses","01/18/08","FOX – Distributor",NA,76808654,27442040,"Romantic Comedy","PG-13",111,3057,8976.79,6.1,0,596000,40
"88 Minutes","04/18/08","Sony Pictures",3e+07,16930884,6957216,"Thriller/Suspense","R",108,2168,3209.05,5.9,8,210000,5
"Aliens vs. Predator - Requiem","04/15/08","20th Century Fox",4e+07,41797066,44307417,"Action","R",94,2511,3853,4.9,0,60700,13
"Alvin and the Chipmunks","12/14/07","20th Century Fox",7e+07,217326336,44307417,"Comedy","G",92,3475,12750.34,5.5,0,406000,27
"An American Carol","10/03/08","Vivendi Entertainment",1.2e+07,7001720,3656000,"Comedy","PG-13",83,1639,2231,4.6,5,294000,13
"Appaloosa","09/19/08","Warner Bros.",2e+07,20080574,248847,"Western","R",115,14,17774.79,6.9,9,295000,76
"Atonement","12/07/07","Focus Features",3e+07,50921738,796836,"Drama","R",123,32,24901.13,7.9,4,564000,82
"Australia","11/26/08","FOX – Distributor",1.3e+08,49551002,14800723,"Drama","PG-13",165,2642,5602.09,6.9,2,306000,54
"Baby Mama","04/25/08","Universal – Distributor",3e+07,60269340,17407110,"Comedy","PG-13",99,2543,6845.11,6.1,4,48300,63
"Babylon A.D.","08/29/08","FOX – Distributor, Production Company",7e+07,22531698,11541571,"Action","PG-13",90,3390,3404.59,5.3,1,477000,7
"Bangkok Dangerous","01/06/09","Lionsqate",4e+07,15232982,7783266,"Action","R",99,2650,2937.08,5.4,2,81600,9
"Be Kind Rewind","02/22/08","New Line",2e+07,11169531,4050655,"Comedy","PG-13",102,808,5013,6.6,0,335000,65
"Bedtime Stories","12/25/08","Walt Disney",8e+07,85539168,NA,"Comedy","PG",99,3681,7457.29,6.2,0,479000,25
"Beverly Hills Chihuahua","10/03/08","Walt Disney",2e+07,94497271,29300465,"Comedy","PG",91,3215,9113.67,3.2,2,351000,41
"Blindness","10/03/08","Miramax",2.5e+07,3073392,NA,"Thriller/Suspense","R",121,1690,1154,6.7,4,513000,41
"Body of Lies","10/10/08","Warner Bros.",7e+07,39380442,12884416,"Thriller/Suspense","R",128,2710,4754.4,7.2,6,441000,51
"Bolt","11/21/08","Walt Disney",1.5e+08,114053579,26223128,"Comedy","PG",96,3651,7182.45,7.4,2,95400,88
"Bottle Shock","08/06/08","Freestyle Releasing",NA,4016669,277839,"Drama","PG-13",110,48,5788,6.8,0,81300,47
"Brideshead Revisited","06/25/08","Miramax",8300000,6432256,NA,"Drama","PG-13",133,33,10291,6.7,4,132000,64
"Burn After Reading","09/12/08","Focus Features",3.7e+07,60355347,19128001,"Black Comedy","R",96,2651,7215.39,7.3,12,259000,77
"Cadillac Records","12/05/08","Sony",1.2e+07,8134217,3445559,"Drama","R",109,687,5015,6.7,1,61100,68
"Changeling","10/31/08","Universal – Distributor",5.5e+07,35707327,9351560,"Thriller/Suspense","R",141,15,32601,8,4,2510000,61
"Charlie Bartlett","02/22/08","MGM",NA,3950294,1836256,"Comedy","R",97,1122,1637,7.2,2,31600,54
"Charlie Wilson's War","12/21/08","Universal",7.5e+07,66636385,15952430,"Drama","R",102,2575,6195.12,7.3,13,199000,81
"City of Ember","10/10/08","FOX – Distributor",5.5e+07,7871693,3129473,"Adventure","PG",90,2022,1548,6.4,2,101000,51
"Cloverfield","01/18/08","Paramount",2.5e+07,80048433,46146546,"Action","PG-13",85,3411,13528.74,7.5,0,166000,76
"College","08/29/08","MGM",6500000,4693919,2619730,"Comedy","R",94,2123,1014,4.3,0,113000,5
"College Road Trip","03/07/08","Walt Disney",NA,45588608,13601419,"Comedy","G",83,2706,5026.39,3.5,0,104000,13
"Cruising Bar 2","07/27/08","Alliance Atlantis",5e+06,NA,NA,"Comedy","Not Rated",NA,83,2182,5.8,0,165000,NA
"Death Race","08/22/08","Universal – Distributor, Production Company",4.5e+07,36064910,NA,"Action","R",111,NA,NA,6.7,3,123000,43
"Deception","04/25/08","FOX – Distributor",2.5e+07,4597760,2312146,"Thriller/Suspense","R",107,2001,1155,5.8,1,42200,12
